article_id;Loaded Language;Name Calling / Labeling;Repetition;Exaggeration / Minimization;Doubt;Appeal to fear-prejudice;Flag-Waving;Causal Oversimplification;Slogans;Appeal to Authority;Black-and-White Fallacy;Thought-terminating Cliches;Bandwagon,Reductio ad Hitlerum;Whataboutism,Straw_Men,Red_Herring;Verdict_percent
111111111;0;0;0;0;0;1;0;0;0;1;0;0;0;0;10
111111112;1;1;0;1;0;1;1;0;1;1;0;0;0;1;40
111111113;1;0;0;1;1;1;0;1;1;1;0;1;0;1;65
111111114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
111111115;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5
111111117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
111111121;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111111122;1;1;0;1;1;0;0;1;0;1;0;0;0;0;40
111111123;1;0;0;0;1;0;0;0;0;1;0;0;0;1;15
111111124;1;1;0;1;1;0;0;0;0;1;0;0;0;0;30
111111131;1;1;1;1;1;1;1;1;1;1;1;1;1;1;75
111111132;1;0;0;1;1;1;0;0;1;1;1;1;1;1;40
111111133;1;0;0;1;1;1;0;0;0;1;0;0;0;1;10
111111134;0;0;0;0;1;0;0;1;0;0;0;0;0;0;25
111111135;1;1;0;0;0;0;0;0;0;1;0;0;1;0;15
111111136;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15
111111137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
694327499;1;1;1;1;1;1;0;1;1;1;1;1;0;1;95
694356862;1;1;0;1;1;1;0;1;0;1;1;0;1;0;95
694811415;1;0;0;0;1;0;0;0;0;1;0;0;0;0;40
695108099;1;0;0;1;1;1;0;1;0;0;1;0;0;1;70
695833178;1;1;1;1;1;1;0;1;1;1;1;1;1;1;90
696246189;1;1;0;0;1;0;0;0;0;0;0;0;0;1;20
696264594;1;1;1;1;1;1;1;1;0;1;1;0;1;0;95
