article_id;Loaded Language;Name Calling / Labeling;Repetition;Exaggeration / Minimization;Doubt;Appeal to fear-prejudice;Flag-Waving;Causal Oversimplification;Slogans;Appeal to Authority;Black-and-White Fallacy;Thought-terminating Cliches;Bandwagon,Reductio ad Hitlerum;Whataboutism,Straw_Men,Red_Herring;Verdict_percent
111111111;0;0;0;0;0;1;0;0;0;1;0;0;0;0;5
111111112;1;1;0;1;0;1;1;0;0;1;1;1;0;1;40
111111113;1;1;0;1;1;1;1;1;1;1;1;0;0;1;25
111111114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
111111115;1;0;0;0;0;0;0;0;0;0;0;0;1;0;10
111111117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
111111121;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
111111122;1;1;0;0;1;0;0;0;0;1;0;0;0;0;30
111111123;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15
111111124;1;1;0;0;0;0;0;0;0;1;0;0;0;0;40
111111131;1;1;0;1;0;0;0;0;0;0;0;0;0;1;35
111111132;1;0;0;0;0;0;0;0;0;1;0;0;1;0;15
111111133;1;0;0;0;0;0;0;0;0;0;0;0;0;1;5
111111134;1;0;0;0;1;0;0;0;0;1;0;0;0;0;15
111111135;1;0;0;0;0;0;0;0;0;1;0;0;0;0;10
111111136;1;0;0;0;0;1;0;1;0;0;0;0;0;0;15
111111137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
694327499;1;1;0;1;1;1;1;0;1;1;1;1;1;1;85
694356862;1;1;1;1;1;1;1;1;1;1;1;0;0;0;90
694811415;1;0;0;1;1;0;0;1;0;1;0;1;0;1;85
695108099;0;0;0;0;1;1;0;0;0;1;1;0;0;0;80
695833178;1;1;1;1;1;1;0;1;1;1;1;1;1;1;85
696246189;1;1;0;1;1;0;0;0;0;1;0;0;1;1;40
696264594;1;1;1;1;1;1;1;0;0;0;1;0;1;0;95
696694316;1;1;0;1;0;1;1;0;0;1;1;0;0;0;65
696735702;1;1;0;0;1;0;0;0;0;0;0;0;0;0;70
697063039;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
697444415;1;0;1;1;1;1;0;0;0;1;1;0;1;0;70
697454736;1;0;0;1;1;0;1;0;0;1;0;0;1;0;80
697472447;1;0;1;1;1;0;0;0;0;0;0;0;0;0;40
697959084;0;0;0;1;1;0;0;0;0;1;1;0;1;0;85
697996062;1;1;0;1;0;0;0;1;0;0;0;0;0;0;85
698018235;1;1;1;1;1;1;1;1;1;0;1;1;1;1;95
698092698;0;1;1;1;1;1;0;0;0;0;1;1;1;1;95
698503276;1;1;0;1;1;1;1;1;0;1;1;1;1;0;90
698719689;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
698780559;1;1;1;1;1;1;0;0;0;0;0;0;0;0;80
699142854;1;0;0;1;1;0;0;0;0;0;0;0;0;0;35
699291100;1;1;1;1;1;1;1;1;0;1;0;0;0;1;85
699478811;1;1;0;1;1;1;1;1;0;1;1;1;0;0;85
700387229;0;0;1;0;0;1;0;0;0;1;0;0;0;0;15
700461600;1;0;0;0;0;1;1;0;0;0;1;0;0;0;85
700551604;1;1;1;1;1;0;1;1;0;0;0;0;0;1;95
700662577;1;0;1;0;0;0;0;0;0;1;0;0;0;0;15
701225819;1;1;0;0;0;1;0;0;0;1;1;0;0;0;25
701299732;1;0;0;0;0;1;0;0;0;1;0;0;0;0;30
701447437;1;0;0;0;1;1;0;1;0;1;0;0;0;0;70
701553469;1;1;0;1;1;1;0;0;0;0;1;0;0;1;85
701837665;0;1;1;1;1;1;0;0;0;1;1;0;0;1;90
701933838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
701939679;1;0;0;0;0;0;0;0;0;1;1;1;0;1;65
702077434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
702077783;1;1;0;1;1;1;1;0;0;1;1;0;0;0;90
702111021;1;1;1;1;1;1;1;0;0;1;1;0;0;1;90
703056647;1;0;1;1;0;1;0;1;0;1;0;0;0;0;70
703698295;1;1;1;1;1;1;1;1;1;1;1;0;1;1;85
703806098;1;1;1;1;1;1;1;1;1;1;1;1;1;1;95
703821117;1;1;1;1;1;1;1;1;1;0;1;1;1;1;95
704591553;1;1;0;1;1;1;0;1;1;0;1;0;1;1;85
704856340;1;0;1;1;1;1;0;1;0;1;1;1;1;1;95
705035735;1;1;1;1;0;1;0;0;0;1;0;0;0;0;85
705409419;1;1;0;1;1;1;1;0;0;1;0;0;0;0;85
706088110;1;1;1;1;1;1;1;1;0;1;1;1;0;1;90
706501640;1;0;1;1;0;1;0;0;0;1;0;0;0;0;45
706600938;1;1;0;1;1;1;1;0;0;1;1;1;0;1;90
706636401;1;1;0;1;1;1;0;0;0;1;1;0;1;1;90
706661242;1;1;0;1;0;0;0;0;0;1;1;1;0;0;95
706777811;1;0;1;1;0;1;0;0;1;1;0;1;0;0;70
707451080;1;1;1;1;1;1;0;0;1;1;1;1;1;1;85
707566605;0;0;0;0;0;1;0;0;0;1;0;0;0;0;20
707772906;1;0;1;1;1;1;1;0;1;0;1;0;1;1;85
708071969;1;0;0;0;0;1;0;0;0;1;0;0;0;0;85
708487008;1;0;0;0;0;1;0;0;0;1;0;0;0;0;15
708561738;1;1;1;1;0;1;1;1;1;1;1;1;1;0;95
709732928;1;1;1;1;1;1;1;1;1;1;1;1;1;1;80
710100700;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10
710376094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
711566593;1;1;0;1;1;1;0;1;1;1;1;1;0;1;90
711596363;1;1;0;1;1;1;1;1;1;1;1;0;1;0;85
711622457;1;1;1;1;1;1;1;1;1;1;1;1;1;1;85
711716996;1;1;0;1;1;0;1;0;0;0;1;0;0;1;90
711964584;1;1;1;1;1;1;1;1;1;1;1;1;1;1;95
712382330;1;1;0;1;1;1;0;0;0;1;1;0;0;0;85
713130996;1;1;0;1;1;1;1;1;1;1;1;1;1;1;85
715588833;1;1;1;1;1;1;1;0;1;1;1;0;1;0;95
715790840;1;1;1;1;1;1;1;0;1;1;1;1;0;0;90
716469423;1;0;1;1;1;1;0;1;1;1;1;1;1;1;95
718312499;1;0;1;1;1;0;0;0;0;1;0;0;0;0;85
718595845;1;0;0;1;1;1;0;0;0;1;0;0;0;1;80
721406153;1;1;1;1;1;1;1;0;0;1;1;0;0;1;95
721710340;1;0;0;0;0;1;0;0;0;0;0;0;0;0;35
721890296;1;1;1;1;0;1;1;1;1;1;1;1;1;1;95
722507879;1;0;0;0;1;1;0;0;0;1;1;0;0;0;80
722512241;1;1;0;1;1;1;1;1;1;1;1;1;1;1;95
723501118;1;1;1;1;1;1;0;1;1;0;1;1;0;1;95
723537899;1;1;1;1;1;1;1;0;0;0;1;0;0;1;85
723793978;1;0;0;1;0;1;0;1;0;0;0;0;0;0;85
723823436;1;1;1;1;1;1;1;1;0;1;1;1;1;1;90
723844295;1;0;1;0;1;1;0;1;0;0;0;1;0;0;70
723883127;1;1;1;1;1;1;0;1;1;1;1;1;1;0;90
724095467;1;0;0;1;1;1;0;1;0;1;1;0;0;1;90
724095598;1;1;0;1;1;1;0;1;0;1;1;1;1;1;95
724791253;1;1;0;1;1;1;1;1;0;1;1;1;1;1;95
725238842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
725276027;1;1;1;1;1;1;1;1;0;1;1;1;0;1;95
725498022;0;1;1;1;1;1;0;0;0;1;1;0;1;1;70
725731328;1;1;0;1;1;1;0;0;0;0;0;0;1;0;95
725824328;1;1;0;1;1;1;0;1;0;1;1;1;0;1;95
727128296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
727174208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
727405181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
727493378;1;0;0;1;1;0;0;0;0;1;1;0;1;1;45
727497152;1;1;1;1;1;1;0;1;0;1;1;0;0;1;85
727569885;1;1;0;1;1;1;1;1;1;1;1;1;0;1;90
727634031;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
727658675;1;1;1;1;1;1;1;1;1;1;1;1;1;1;65
727736557;1;1;0;1;0;0;0;0;0;0;0;0;0;0;30
727736595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
727869189;1;1;0;0;0;1;1;0;0;1;1;0;0;1;75
728153988;1;1;0;0;0;0;0;0;0;0;0;0;0;0;20
728169864;1;1;0;1;1;1;0;0;0;1;1;0;0;1;95
728343601;1;0;1;0;1;0;0;0;0;1;0;0;0;0;15
728680557;1;0;0;0;0;0;0;0;0;1;0;0;1;0;20
728758697;1;1;1;1;1;0;1;0;1;0;1;1;1;1;85
728972961;1;1;1;1;1;1;1;1;1;1;1;0;0;0;90
729303442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
729348908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
729368012;1;0;1;1;1;1;1;1;0;1;1;1;0;1;80
729410793;1;1;0;1;1;1;0;0;0;1;1;1;1;1;85
729549972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
729561658;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
729578579;1;1;1;1;1;1;0;0;0;1;1;0;1;0;95
729581752;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
729651527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
729668796;1;1;1;1;0;1;1;1;1;1;1;0;0;1;95
729670169;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
729700539;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
729940206;1;1;0;1;1;1;0;1;0;1;1;1;0;1;90
730019938;1;0;0;1;1;1;0;1;1;0;1;0;0;1;85
730036755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
730061195;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
730081389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
730093263;1;0;0;1;1;1;1;1;0;1;1;0;0;1;90
