article_id;Loaded Language;Name Calling / Labeling;Repetition;Exaggeration / Minimization;Doubt;Appeal to fear-prejudice;Flag-Waving;Causal Oversimplification;Slogans;Appeal to Authority;Black-and-White Fallacy;Thought-terminating Cliches;Bandwagon,Reductio ad Hitlerum;Whataboutism,Straw_Men,Red_Herring;Verdict_percent
111111111;1;0;0;0;0;1;0;0;0;1;0;0;0;0;5
111111112;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25
111111113;1;1;1;1;1;1;1;1;1;1;1;1;0;1;10
111111114;1;0;0;0;0;0;0;1;0;0;0;0;0;0;20
111111115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
111111117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
111111121;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
111111122;1;1;1;1;1;0;0;1;0;1;1;1;0;1;75
111111123;0;0;0;0;1;0;0;0;0;1;0;1;0;1;25
111111124;1;1;0;1;1;1;1;1;1;1;1;1;1;0;40
111111131;1;1;1;1;1;1;1;1;1;1;0;1;1;1;70
111111132;1;1;0;1;1;1;1;1;1;1;1;1;1;1;10
111111133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
111111134;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5
111111135;1;1;0;1;1;1;1;1;1;1;1;1;1;1;5
111111136;1;0;0;1;1;1;1;1;1;1;1;1;1;1;20
111111137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
694327499;1;1;1;1;1;1;1;1;1;1;1;1;1;1;95
694356862;1;1;1;1;1;1;1;1;1;1;1;1;1;1;95
694811415;1;0;1;1;1;0;1;0;1;1;1;1;0;1;95
695108099;1;0;0;0;1;0;0;1;0;0;1;0;0;0;95
695833178;1;1;1;1;1;1;1;1;1;1;1;1;1;1;95
696246189;1;1;1;1;1;0;1;0;1;1;0;0;0;1;75
696264594;1;1;1;1;1;1;1;1;1;0;1;1;1;1;95
696694316;1;1;1;1;1;1;1;1;1;1;1;1;0;1;95
696735702;1;0;1;1;1;0;0;0;0;1;1;1;0;1;100
697063039;1;0;1;0;0;1;1;0;0;1;0;0;0;0;35
697444415;1;0;0;1;1;0;0;0;0;1;1;0;1;0;95
697454736;1;1;1;1;1;1;1;1;1;1;1;1;1;1;95
697472447;1;0;1;1;1;1;0;0;0;0;1;1;1;1;95
697959084;1;0;1;1;1;1;1;1;0;1;1;1;1;0;100
697996062;1;1;1;1;1;1;0;1;0;1;1;0;0;1;95
698018235;1;1;1;1;1;1;1;1;1;0;1;1;1;1;95
698092698;1;1;1;1;1;0;1;1;0;1;1;1;1;1;95
698503276;1;1;1;1;1;1;1;1;0;1;1;1;1;1;100
698719689;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
698780559;1;0;1;1;1;0;0;1;1;1;1;1;1;1;95
699142854;1;1;1;1;1;1;1;1;0;0;1;0;0;1;90
699291100;1;1;1;1;1;1;1;1;1;1;1;1;0;1;95
699478811;1;1;1;1;1;1;1;1;0;1;1;1;1;1;95
700387229;1;0;1;1;0;1;0;0;1;1;0;0;0;0;75
