article_id;Loaded Language;Name Calling / Labeling;Repetition;Exaggeration / Minimization;Doubt;Appeal to fear-prejudice;Flag-Waving;Causal Oversimplification;Slogans;Appeal to Authority;Black-and-White Fallacy;Thought-terminating Cliches;Bandwagon,Reductio ad Hitlerum;Whataboutism,Straw_Men,Red_Herring;Verdict_percent
111111111;1;0;0;0;0;1;0;0;0;1;0;0;0;0;20
111111112;1;1;0;1;1;1;0;0;0;1;1;0;0;1;70
111111113;1;0;0;1;1;1;1;1;0;1;1;0;0;1;70
111111114;0;0;0;0;0;1;0;0;0;1;0;0;0;0;10
111111115;0;0;0;0;1;0;0;0;0;0;0;0;1;0;20
111111117;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
111111121;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
111111122;1;0;0;1;1;0;0;1;0;1;1;0;0;0;40
111111123;0;0;0;0;1;0;0;0;0;1;0;0;0;1;30
111111124;1;0;0;1;1;0;0;0;0;1;0;0;0;0;30
111111131;1;0;1;1;1;0;0;0;0;0;0;0;0;0;40
111111132;1;0;0;0;1;0;0;0;0;1;0;0;1;0;30
111111133;1;0;0;0;1;0;0;0;0;1;0;0;0;1;30
111111134;0;0;0;0;1;0;0;0;0;0;0;0;0;0;20
111111135;1;1;0;0;1;1;0;0;0;1;0;0;1;0;40
111111136;1;0;0;1;1;1;0;0;0;1;0;0;0;0;60
111111137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
694327499;1;1;1;1;1;1;0;1;0;1;1;0;0;1;85
694356862;1;1;1;1;1;1;0;1;0;1;1;0;0;0;75
694811415;1;0;0;1;1;1;0;1;0;1;0;0;0;0;70
695108099;1;0;0;0;1;1;0;0;0;1;0;0;0;0;60
695833178;1;0;1;1;1;1;0;0;0;1;0;0;0;0;70
696246189;1;0;1;1;1;0;0;0;0;1;0;0;1;1;60
696264594;1;1;1;1;1;1;1;1;0;0;1;0;1;1;85
696694316;1;1;0;1;1;1;0;1;0;1;1;0;0;0;70
696735702;1;0;0;1;1;1;0;1;0;1;0;0;0;1;70
697063039;1;0;1;1;0;1;0;0;0;1;0;0;0;0;40
697444415;1;0;1;1;1;1;0;1;0;0;0;0;1;0;70
697454736;1;1;0;1;1;0;0;1;0;1;1;0;0;1;70
697472447;1;0;1;1;1;1;0;1;0;0;0;0;0;1;70
697959084;1;0;1;1;1;1;0;1;0;1;1;0;0;0;80
697996062;1;1;1;1;1;1;0;1;0;0;1;0;0;0;75
698018235;1;1;1;1;1;1;1;1;1;0;1;1;0;1;85
698092698;1;0;0;0;1;1;0;0;0;0;0;0;0;0;40
698503276;1;1;1;1;1;1;0;1;0;1;1;0;1;1;85
698719689;1;0;0;0;0;1;0;0;0;1;0;0;0;0;20
698780559;1;0;1;1;1;1;0;0;0;0;0;0;0;0;70
699142854;1;0;1;1;1;1;1;1;0;1;1;0;0;0;75
699291100;1;0;0;1;1;1;0;1;0;1;0;0;0;1;70
699478811;1;1;1;1;1;1;0;1;0;1;1;0;0;1;75
700387229;1;0;1;1;0;1;0;0;0;1;0;0;0;0;60
700461600;1;0;0;1;1;1;0;1;0;1;1;0;0;0;60
700551604;1;0;1;1;1;1;0;1;0;0;1;0;0;0;60
700662577;1;0;1;1;0;1;0;0;0;1;0;0;0;0;60
701225819;1;1;1;1;1;1;0;0;0;1;1;0;1;0;70
701299732;1;0;1;1;0;1;0;0;0;1;0;0;0;0;60
701447437;1;0;0;1;1;1;0;1;0;1;0;0;0;0;60
701553469;1;1;1;1;1;1;0;1;0;0;1;0;0;1;85
701837665;1;1;1;1;1;1;0;1;0;0;1;0;0;1;80
701933838;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10
701939679;1;0;0;0;1;0;0;0;0;1;0;0;0;0;30
702077434;0;0;0;0;1;0;0;1;0;0;0;0;0;0;20
702077783;1;1;1;1;1;1;1;1;0;0;0;0;0;1;75
702111021;1;1;1;1;1;1;0;1;0;0;1;0;0;0;85
703056647;1;0;1;1;0;1;0;1;0;1;0;0;0;0;70
703698295;1;1;0;1;1;1;0;1;0;1;1;0;0;1;75
703806098;1;0;1;1;1;1;0;1;0;1;1;0;0;1;80
703821117;1;0;1;1;1;1;0;1;0;0;1;0;0;1;70
704591553;1;1;0;1;1;1;0;1;0;1;0;0;1;0;80
704856340;1;0;1;1;1;1;0;1;0;1;1;0;0;1;80
705035735;1;0;1;1;0;1;0;0;1;1;0;0;0;0;70
705409419;1;1;1;1;1;1;0;1;0;1;1;0;0;0;80
706088110;1;1;0;1;1;1;0;1;0;0;1;0;0;0;70
706501640;1;0;1;1;0;1;0;0;0;1;0;0;0;0;60
706600938;1;1;0;1;1;1;0;1;0;1;1;0;0;0;75
706636401;1;0;1;1;1;1;0;1;0;1;0;0;0;0;70
706661242;1;1;0;1;1;1;0;1;0;1;1;0;0;0;75
706777811;1;0;0;1;0;1;0;0;0;1;0;0;0;0;40
707451080;1;0;1;1;1;1;1;1;1;1;1;1;1;1;85
707566605;1;0;1;1;0;1;0;1;0;1;0;0;0;0;60
707772906;1;0;1;1;1;1;1;1;0;0;1;0;0;1;80
708071969;1;0;1;1;0;1;0;1;0;1;0;0;0;0;70
708487008;1;0;0;1;0;1;0;1;0;1;0;0;0;0;40
708561738;1;0;1;1;1;1;1;1;1;1;1;1;1;0;85
709732928;1;1;1;1;1;1;0;1;0;1;1;0;0;1;85
710100700;1;0;0;0;0;1;0;0;0;1;0;0;0;0;30
710376094;1;0;1;1;0;1;0;0;0;1;0;0;0;0;40
711566593;1;1;0;1;1;1;1;1;1;1;1;0;0;1;85
711596363;1;1;1;1;1;1;1;1;1;1;1;0;1;0;85
711622457;1;1;0;1;1;1;1;1;0;1;1;0;0;1;75
711716996;1;1;1;1;1;1;1;1;0;0;1;0;0;1;85
711964584;1;1;1;1;1;1;1;1;0;1;1;0;0;1;85
712382330;1;1;0;1;1;1;0;0;0;1;1;0;0;0;70
713130996;1;1;0;1;1;1;1;1;0;1;1;0;0;1;85
715588833;1;1;1;1;1;1;0;1;1;1;1;1;0;1;85
715790840;1;0;0;1;1;1;1;1;0;1;1;0;0;0;70
716469423;1;0;1;1;1;1;0;1;0;1;0;0;0;0;70
718312499;1;0;1;1;1;1;0;1;0;1;0;0;0;0;70
718595845;1;1;1;1;1;1;0;1;0;1;0;0;0;1;70
721406153;1;1;1;1;1;1;0;1;0;1;1;0;0;1;75
721710340;1;0;0;1;1;1;1;1;0;1;1;0;0;0;70
721890296;1;1;1;1;1;1;1;1;0;1;1;0;0;0;85
722507879;1;0;1;1;1;1;0;1;0;1;1;0;0;1;75
722512241;1;1;1;1;1;1;1;1;0;1;1;0;0;0;85
723501118;1;1;1;1;1;1;0;1;0;0;1;0;0;0;75
723537899;1;0;0;1;1;1;0;1;0;0;1;0;0;1;70
723793978;1;0;0;1;1;1;0;1;0;0;0;0;0;0;60
723823436;1;0;1;1;1;1;0;1;0;1;0;0;0;1;80
723844295;1;0;1;1;1;1;0;1;0;1;0;0;0;0;70
723883127;1;1;1;1;1;0;0;0;0;1;0;0;0;0;70
724095467;1;0;0;1;1;1;0;0;0;1;0;0;0;0;60
724095598;1;0;0;1;1;1;0;1;0;1;0;0;0;1;70
724791253;1;1;0;1;1;1;0;0;0;0;1;0;1;1;80
725238842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
725276027;1;1;1;1;1;1;0;1;0;0;1;0;0;1;85
725498022;1;1;1;1;1;1;0;1;0;1;1;0;1;0;75
725731328;1;1;1;1;1;1;0;1;0;0;0;0;1;0;80
725824328;1;0;0;1;1;1;0;1;0;0;0;0;0;1;75
727128296;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
727174208;0;0;0;0;1;0;0;0;0;1;0;0;0;0;20
727405181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
727493378;1;0;0;1;1;0;0;0;0;1;0;0;0;0;40
727497152;1;0;0;0;1;1;0;0;0;0;0;0;0;0;60
727569885;1;1;1;1;1;1;1;1;0;1;1;0;0;1;85
727634031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
727658675;1;0;0;1;1;1;0;1;0;1;1;0;1;0;70
727736557;1;1;0;1;1;1;0;0;0;0;0;0;0;1;40
727736595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
727869189;1;0;0;1;1;1;0;1;0;1;1;0;0;1;60
728153988;1;0;0;0;0;1;0;0;0;0;0;0;0;0;20
728169864;1;1;1;1;1;1;0;1;0;0;1;0;0;1;85
728343601;1;0;0;0;1;0;0;0;0;1;0;0;0;0;20
728680557;1;0;0;1;0;0;0;0;0;1;0;0;1;0;30
728758697;1;1;1;1;1;1;0;0;0;0;1;0;1;1;85
728972961;1;1;1;1;1;1;1;1;1;1;1;1;1;1;85
729303442;1;0;0;0;1;0;0;0;0;0;0;0;0;0;20
729348908;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
729368012;1;0;1;1;1;1;0;1;0;1;1;0;0;1;80
729410793;1;0;0;0;1;0;0;0;0;1;1;0;0;0;60
729549972;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
729561658;0;0;1;0;1;0;0;0;0;1;0;0;0;0;20
729578579;1;1;1;1;1;1;0;1;0;0;1;0;1;0;75
729581752;0;0;0;1;0;0;0;0;0;1;0;0;0;0;10
729651527;1;0;0;0;1;1;0;0;0;1;0;0;0;0;30
729668796;1;1;1;1;1;1;1;1;1;1;1;1;0;1;85
729670169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
729700539;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
729940206;1;1;0;1;1;0;0;1;0;0;0;0;0;0;60
730019938;1;0;0;0;0;1;0;0;0;0;0;0;0;0;30
730036755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
730061195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
730081389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
730093263;1;0;0;1;1;1;1;1;0;1;0;0;0;1;70
730149656;1;1;0;1;1;1;0;0;0;1;1;0;1;0;75
730222442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
730237078;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5
730246508;1;0;0;0;0;0;1;0;0;1;0;0;0;0;20
730268758;1;1;1;1;1;1;0;1;0;1;1;0;0;0;75
730269378;1;0;0;0;1;0;0;0;0;0;0;0;0;0;40
730389374;1;1;0;1;1;1;0;1;0;0;1;0;0;0;70
730559808;1;1;1;1;1;1;1;1;0;1;1;1;1;0;85
730573740;1;1;0;1;1;1;0;1;0;1;1;0;0;0;60
730652769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
730865684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
