article_id;Loaded Language;Name Calling / Labeling;Repetition;Exaggeration / Minimization;Doubt;Appeal to fear-prejudice;Flag-Waving;Causal Oversimplification;Slogans;Appeal to Authority;Black-and-White Fallacy;Thought-terminating Cliches;Bandwagon,Reductio ad Hitlerum;Whataboutism,Straw_Men,Red_Herring;Verdict_percent
111111111;0;0;0;0;0;1;0;0;0;1;0;0;0;0;20
111111112;1;1;0;1;0;1;0;0;0;1;1;0;0;1;70
111111113;1;1;0;1;1;1;1;1;1;1;1;0;0;1;75
111111114;0;0;0;0;0;1;0;0;0;1;0;0;0;0;15
111111115;0;0;0;0;1;0;0;0;0;0;0;0;1;0;20
111111117;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
111111121;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
111111122;1;0;0;1;1;0;0;1;0;1;0;0;0;0;40
111111123;0;0;0;0;1;0;0;0;0;1;0;0;0;1;30
111111124;1;0;0;0;1;0;0;0;0;0;0;0;0;0;20
111111131;1;0;1;1;1;0;0;0;0;0;0;0;0;0;40
111111132;0;0;0;0;1;0;0;0;0;1;0;0;1;0;20
111111133;1;0;0;0;1;0;0;0;0;1;0;0;0;1;30
111111134;0;0;0;0;1;0;0;0;0;0;0;0;0;0;20
111111135;1;1;0;1;1;1;0;0;0;1;0;0;1;0;60
111111136;1;0;0;1;1;1;0;0;0;1;0;0;0;0;60
111111137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
694327499;1;1;0;1;1;1;0;1;0;1;1;0;0;1;85
694356862;1;1;0;1;1;1;0;1;0;1;1;0;0;0;70
694811415;0;0;0;1;1;1;0;1;0;0;0;0;0;0;60
695108099;0;0;0;0;1;1;0;0;0;1;0;0;0;0;40
695833178;1;0;0;1;1;1;0;0;0;1;0;0;0;0;70
696246189;1;1;1;1;1;0;0;0;0;0;0;0;0;1;60
696264594;1;1;1;1;1;1;1;1;0;0;1;0;1;0;85
696694316;1;0;0;1;1;1;0;0;0;1;1;0;0;0;60
696735702;1;0;0;1;1;1;0;1;0;0;0;0;0;1;70
697063039;1;0;1;0;0;1;0;0;0;1;0;0;0;0;40
697444415;1;0;0;1;1;1;0;1;0;0;0;0;1;0;70
697454736;1;0;0;1;1;0;0;0;0;1;1;0;0;1;60
697472447;1;0;0;1;1;1;0;0;0;0;0;0;0;0;60
697959084;1;0;0;1;1;1;0;0;0;0;0;0;0;0;70
697996062;1;1;0;1;1;1;0;1;0;0;1;0;0;0;70
698018235;1;1;1;1;1;1;1;1;0;0;1;0;0;1;85
698092698;1;0;0;0;1;1;0;0;0;0;0;0;0;0;60
698503276;1;1;0;1;1;1;0;1;0;1;1;0;1;1;80
698719689;0;0;0;0;0;1;0;0;0;1;0;0;0;0;20
698780559;1;0;0;1;1;1;0;0;0;0;0;0;0;0;70
699142854;1;0;0;1;1;1;0;1;0;1;1;0;0;0;70
699291100;1;0;0;1;1;1;0;0;0;1;0;0;0;1;70
699478811;1;1;0;1;1;1;0;1;0;1;1;0;0;1;80
700387229;1;0;1;1;0;1;0;0;0;1;0;0;0;0;60
700461600;1;0;0;1;1;1;0;1;0;1;1;0;0;0;60
700551604;1;0;0;1;1;1;0;1;0;0;1;0;0;1;70
700662577;1;0;1;1;0;1;0;0;0;1;0;0;0;0;40
701225819;1;1;1;1;1;1;0;0;0;1;1;0;1;0;70
